"","taxa_set","coding","prior","profiles","cats","rate_profile_cats","bin","rep","n_samples","pp_Porifera","pp_Ctenophora","pp_Cnidaria","pp_Xenacoelomorpha","pp_Hemichordata","pp_Echinodermata","pp_Lophotrochozoa","pp_Ecdysozoa","pp_metazoans","pp_metazoans_ingroup","pp_Ctenophora_Sister","pp_Porifera_Sister","pp_Deuterostome","pp_Nephrozoa","pp_Xenambulacraria","bf_Porifera","bf_Xenacoelomorpha","bf_Deutorostome"
"1","Cho-Reducedoutgroup","Reductive","prior","1","1","k=1, n=1","variable","1",50002,0.6615114,0.9979734,0.9810943,0.9835742,0.9934403,0.9861074,0.9134979,0.8902725,1,0,0.01533252,0.5523172,0.8713935,0.662018,0,5.44851365439541,1.43734061123749,1.91333629954488
"2","Cho-Reducedoutgroup","Reductive","prior","1","1","k=1, n=1","variable","2",50002,0.6615114,0.9979734,0.9810943,0.9835742,0.9934403,0.9861074,0.9134979,0.8902725,1,0,0.01533252,0.5523172,0.8713935,0.662018,0,5.44851365439541,1.43734061123749,1.91333629954488
"3","Cho-Reducedoutgroup","Reductive","prior","1","1","k=1, n=1","informative","1",50002,0.6559117,0.9946136,0.9766412,0.9764546,0.9902139,0.9819476,0.9393099,0.8378753,1,0,0.0256253,0.5299184,0.8665138,0.6618314,0,4.89351008613554,1.4370587060582,1.87047993345783
"4","Cho-Reducedoutgroup","Reductive","prior","1","1","k=1, n=1","informative","2",50002,0.6559117,0.9946136,0.9766412,0.9764546,0.9902139,0.9819476,0.9393099,0.8378753,1,0,0.0256253,0.5299184,0.8665138,0.6618314,0,4.89351008613554,1.4370587060582,1.87047993345783
"5","Cho-Reducedoutgroup","Reductive","prior","1","4","k=1, n=4","variable","1",50002,0.6550584,0.9980001,0.9811477,0.9833609,0.9942136,0.9834409,0.9135246,0.8900859,1,0,0.01605248,0.5625833,0.8793931,0.6724175,0,5.42104305564399,1.45292729270849,1.98669551387033
"6","Cho-Reducedoutgroup","Reductive","prior","1","4","k=1, n=4","variable","2",50002,0.6550584,0.9980001,0.9811477,0.9833609,0.9942136,0.9834409,0.9135246,0.8900859,1,0,0.01605248,0.5625833,0.8793931,0.6724175,0,5.42104305564399,1.45292729270849,1.98669551387033
"7","Cho-Reducedoutgroup","Reductive","prior","1","4","k=1, n=4","informative","1",50002,0.6407658,0.9943736,0.9807744,0.9801344,0.9927471,0.9822409,0.9463762,0.8263293,1,0,0.02405205,0.5616767,0.8765133,0.6797771,0,5.01507338386998,1.46381281565408,1.95981842027251
"8","Cho-Reducedoutgroup","Reductive","prior","1","4","k=1, n=4","informative","2",50002,0.6407658,0.9943736,0.9807744,0.9801344,0.9927471,0.9822409,0.9463762,0.8263293,1,0,0.02405205,0.5616767,0.8765133,0.6797771,0,5.01507338386998,1.46381281565408,1.95981842027251
"9","Cho-Reducedoutgroup","Reductive","prior","4","1","k=4, n=1","variable","1",50002,0.6680977,0.9973335,0.9799744,0.9832276,0.9941603,0.9842942,0.9172044,0.8901659,1,0,0.0193323,0.5544238,0.8780065,0.6732441,0,5.22051930248719,1.45415583353031,1.97368623217142
"10","Cho-Reducedoutgroup","Reductive","prior","4","1","k=4, n=1","variable","2",50002,0.6680977,0.9973335,0.9799744,0.9832276,0.9941603,0.9842942,0.9172044,0.8901659,1,0,0.0193323,0.5544238,0.8780065,0.6732441,0,5.22051930248719,1.45415583353031,1.97368623217142
"11","Cho-Reducedoutgroup","Reductive","prior","4","1","k=4, n=1","informative","1",50002,0.7138019,0.9948536,0.9297637,0.9605354,0.9914405,0.980641,0.9339235,0.81201,1,0,0.02351875,0.4817076,0.8655005,0.6104741,0,4.88390651402099,1.35628373374621,1.86174747075398
"12","Cho-Reducedoutgroup","Reductive","prior","4","1","k=4, n=1","informative","2",50002,0.7138019,0.9948536,0.9297637,0.9605354,0.9914405,0.980641,0.9339235,0.81201,1,0,0.02351875,0.4817076,0.8655005,0.6104741,0,4.88390651402099,1.35628373374621,1.86174747075398
"13","Cho-Reducedoutgroup","Reductive","prior","4","4","k=4, n=4","variable","1",50002,0.6602581,0.9976801,0.9802411,0.9842675,0.9936537,0.9826676,0.911898,0.8880593,1,0,0.01799904,0.5533838,0.8771532,0.6648979,0,5.29010056861634,1.44168136037155,1.9657436129454
"14","Cho-Reducedoutgroup","Reductive","prior","4","4","k=4, n=4","variable","2",50002,0.6602581,0.9976801,0.9802411,0.9842675,0.9936537,0.9826676,0.911898,0.8880593,1,0,0.01799904,0.5533838,0.8771532,0.6648979,0,5.29010056861634,1.44168136037155,1.9657436129454
"15","Cho-Reducedoutgroup","Reductive","prior","4","4","k=4, n=4","informative","1",50002,0.6635379,0.9940803,0.9759213,0.9738147,0.9906672,0.9830676,0.9385099,0.8392886,1,0,0.02709189,0.5177057,0.8652339,0.6582049,0,4.81453971139365,1.43156414636508,1.85945919183206
"16","Cho-Reducedoutgroup","Reductive","prior","4","4","k=4, n=4","informative","2",50002,0.6635379,0.9940803,0.9759213,0.9738147,0.9906672,0.9830676,0.9385099,0.8392886,1,0,0.02709189,0.5177057,0.8652339,0.6582049,0,4.81453971139365,1.43156414636508,1.85945919183206
"17","Cho-Reducedoutgroup","Reductive","prior","5","1","k=5, n=1","variable","1",50002,0.6717508,0.9966135,0.967815,0.9831209,0.9926404,0.9832009,0.9056317,0.8844862,1,0,0.02045224,0.5387179,0.8776599,0.6531118,0,5.13546684374774,1.42379618976042,1.97045428975355
"18","Cho-Reducedoutgroup","Reductive","prior","5","1","k=5, n=1","variable","2",50002,0.6717508,0.9966135,0.967815,0.9831209,0.9926404,0.9832009,0.9056317,0.8844862,1,0,0.02045224,0.5387179,0.8776599,0.6531118,0,5.13546684374774,1.42379618976042,1.97045428975355
"19","Cho-Reducedoutgroup","Reductive","prior","5","1","k=5, n=1","informative","1",50002,0.6796704,0.9947469,0.9638153,0.969655,0.9906938,0.9806144,0.943523,0.8351288,1,0,0.02578529,0.5196523,0.8586742,0.6603648,0,4.86772295820606,1.43484027493355,1.80432170855312
