,,,,,,,,,Runs parameters:,,,,,,,,,,,,,,,,,effsize,effsize,effsize,effsize,effsize,effsize,effsize,effsize,effsize,effsize,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,rel_diff,,,Tree,Collapsed tree,Collapsed tree short format,Smallest pp value in tree,plase of smallest pp,The main topologies found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,File name in Table 4,E-value,I-value,nchar,File name in repository ,SP #,Cahnis,First name used,,,,,,,,,,,,,,,,,maxdiff,meandiff,Prior,alpha,gamma_rates[1],gamma_rates[2],gamma_rates[3],gamma_rates[4],mu,pi[1],pi[2],rec_mu,Prior,alpha,gamma_rates[1],gamma_rates[2],gamma_rates[3],gamma_rates[4],mu,pi[1],pi[2],rec_mu,maxdiff,Smallest ESS value,,,,,,"(PO,(CT,(PL,((XEBO,(PR,(CH,AM))),CN)));","(PO,(CT,(PL,((AC,(PR,(CH,AM))),CN)));","(PO,(CT,(PL,((XEBO,((EC,LO),(CH,AM))),CN)));","(PO,(CT,(PL,((AC,((EC,LO),(CH,AM))),CN)));","(PO,(CT,(PL,(XE,(((EC,LO),CH),AM)),CN)));","(PO,(CT,(PL,(XE,((EC,LO),(CH,AM))),CN)));","(PO,(CT,(PL,(XE,((PR,CH),AM)),CN)));","(PO,(CT,(PL,(XE,(PR,(CH,AM))),CN)));","(PO,(CT,PL,((AC,(PR,(CH,AM))),CN)));","(PO,(CT,PL,((XEBO,((EC,LO),(CH,AM))),CN)));","(PO,(CT,PL,((XEBO,(PR,(CH,AM))),CN)));","(PO,((CT,PL),((AC,(PR,(CH,AM))),CN)));","(PO,((CT,PL),((XEBO,(PR,(CH,AM))),CN)));","(PO,((CT,PL),(XE,((EC,LO),(CH,AM))),CN)));","(PO,((CT,PL),(XE,(PR,(CH,AM))),CN)));","(PO,(CT,(PL,((((EC,LO),CH),(HE,((STPU,XE,(OPFA,AUMO))),ACPL))),CN)));","(PO,(CT,(PL,(((PR,((((XETR,(PLSA,GAGA)),DARE),CIIN),BRFL)),XE,(HE,((OPFA,AUMO),EC)))),CN)));","(PO,(CT,(PL,(((PR,CH),(HE,(XE,(OPFA,AUMO)),EC))),CN)));","(PO,(CT,(PL,(((PR,CH),XE,AM)),CN)));","(PO,(PL,(CT,(((PR,CH),XE,AM)),CN)));","(PO,(PL,(CT,((AC,((EC,LO),(CH,AM))),CN)));","(PO,(PL,(CT,((AC,(PR,(CH,AM))),CN)));","(PO,(PL,(CT,((XEBO,((EC,LO),(CH,AM))),CN)));","(PO,(PL,(CT,((XEBO,(PR,(CH,AM))),CN)));","(PO,(PL,(CT,(XE,((EC,LO),(CH,AM))),CN)));","(PO,(PL,(CT,(XE,((PR,CH),AM)),CN)));","(PO,(PL,(CT,(XE,(PR,(CH,AM))),CN)));","(PL,(PO,(CT,(((PR,CH),(XEBO,AM)),CN)));","(PL,(PO,(CT,((AC,(PR,(CH,AM))),CN)));","(PL,(PO,(CT,((PR,(CH,(XEBO,AM))),CN)));","(PL,(PO,(CT,((XEBO,(PR,(CH,AM))),CN)));","(PL,(PO,(CT,(XE,((PR,CH),AM)),CN)));","(PL,(PO,(CT,(XE,(PR,(CH,AM))),CN)));",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,41,1.00E-12,1.5,24545,cluster.41_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta.nexus,41,,,cluster.41_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0189998,0.00023139,936,936,0.00383416,1573,0.0127408,1543,0.0126809,1710,0.0130185,1893,0.0131465,1714,0.0130237,80001,0,3243,0.00512977,3243,0.00513058,80001,0,,,,,"""(ACDI:0.000535",NEVE:0.000588,(HYMA:0.001967,(((TRAD:0.000589,HOHO:0.000258)0.99:0.001839,((PLBA:0.002303,MNLE:0.000551)0.99:0.003582,(((SYCI:0.001465,OSCA:0.003239)0.96:8.7e-05,(TEWI:0.001153,AMQU:0.00079)0.99:0.000904)0.99:0.000155,((SARO:0.001315,MOBR:0.002257)0.99:0.001948,(CAOW:0.002964,(SPAR:0.004486,(SPPU:0.001498,((((SCPO:0.003648,SACE:0.00463)0.99:0.000817,MAOR:0.00178)0.99:0.000427,CRNE:0.003167)0.99:0.001574,ALMA:0.003576)0.99:0.000475)0.99:0.001971)0.99:0.000695)0.99:0.00052)0.99:0.000958)0.99:0.000138)0.99:4.7e-05)0.99:0.000128,(XEBO:0.002473,(((LOGI:0.000812,(HERO:0.001959,CATE:0.000483)0.99:0.000217)0.99:9.3e-05,(SCMA:0.004587,((IXSC:0.00169,(DRME:0.001854,DAPU:0.001315)0.99:0.000301)0.99:0.000223,(PRPA:0.001866,CAEL:0.000649)0.99:0.003665)0.99:0.00038)0.98:0.000104)0.99:0.000161,(((((XETR:0.00041,(HOSA:9e-05,GAGA:0.000349)0.99:7.2e-05)0.99:9.6e-05,DARE:0.00025)0.99:0.000704,CIIN:0.002012)0.99:0.000135,BRFL:0.000764)0.99:9.1e-05,((SAKO:0.000324,PTFL:0.000731)0.99:0.000322,(STPU:0.00066,"ACPL:0.000422)0.99:0.000214)0.99:0.00016)0.99:9.8e-05)0.99:4.8e-05)0.99:0.000231)0.99:0.0002)0.99:0.000343);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,44,1.00E-12,1.5,27784,cluster.44_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta.nexus,44,,,cluster.44_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0120248,0.0002166,1037,1037,0.00752111,1432,0.0187683,1413,0.0186955,1508,0.018401,1631,0.0180295,1510,0.018421,80001,0,2618,0.00603714,2618,0.00603908,80001,0,,,,,"""(ACDI:0.000571",NEVE:0.000641,(HYMA:0.002057,(((TRAD:0.000619,HOHO:0.000262)0.99:0.001909,((PLBA:0.002398,MNLE:0.000578)0.99:0.003753,(((SYCI:0.001555,OSCA:0.003313)0.92:8.4e-05,(TEWI:0.001207,AMQU:0.000857)0.99:0.000963)0.99:0.000165,((SARO:0.001372,MOBR:0.002344)0.99:0.001969,(CAOW:0.003059,(SPAR:0.004514,(SPPU:0.001542,((((SCPO:0.003666,SACE:0.004709)0.99:0.000815,MAOR:0.001806)0.99:0.000415,CRNE:0.00319)0.99:0.001553,ALMA:0.003605)0.99:0.000473)0.99:0.001968)0.99:0.000671)0.99:0.000536)0.99:0.00094)0.99:0.000148)0.88:3.8e-05)0.99:0.000127,(((SYRO:0.00086,PSVA:0.00105)0.99:0.002497,(NEWE:0.001033,MEST:0.002786)0.99:0.000679)0.99:0.000527,(((LOGI:0.000864,(HERO:0.002025,CATE:0.000538)0.99:0.000219)0.99:9.4e-05,(SCMA:0.004704,((IXSC:0.001732,(DRME:0.0019,DAPU:0.001365)0.99:0.000292)0.99:0.000216,(PRPA:0.001961,CAEL:0.000753)0.99:0.003708)0.99:0.000408)0.99:0.000114)0.99:0.00015,(((((XETR:0.000441,(HOSA:9.3e-05,GAGA:0.000372)0.99:7.1e-05)0.99:9.1e-05,DARE:0.000253)0.99:0.000724,CIIN:0.002079)0.99:0.000134,BRFL:0.00079)0.99:9.6e-05,((SAKO:0.000345,PTFL:0.000764)0.99:0.000343,(STPU:0.000693,"ACPL:0.00043)0.99:0.000216)0.99:0.000166)0.99:0.000136)0.99:0.000185)0.99:0.000132)0.99:0.000204)0.99:0.000376);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,47,1.00E-12,1.5,28679,cluster.47_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta.nexus,47,,,cluster.47_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-12.all_vs_all.txt.1.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.00741241,0.00021144,871,961,0.00714073,877,0.00664357,871,0.00672,909,0.005875,962,0.00509977,909,0.00588181,80001,0,1870,0.00860337,1870,0.00860199,80001,0,,,,,"""(ACDI:0.000623",NEVE:0.000692,(HYMA:0.002221,(((TRAD:0.000646,HOHO:0.000299)0.99:0.002063,((PLBA:0.002475,MNLE:0.000556)0.99:0.003953,(((SYCI:0.001671,OSCA:0.003558)0.68:9.8e-05,(TEWI:0.001285,AMQU:0.00089)0.99:0.001014)0.99:0.000163,((SARO:0.00138,MOBR:0.00241)0.99:0.002008,(CAOW:0.003089,(SPAR:0.004541,(SPPU:0.001513,((((SCPO:0.003557,SACE:0.004496)0.99:0.000802,MAOR:0.001744)0.99:0.000418,CRNE:0.003145)0.99:0.001508,ALMA:0.003547)0.99:0.000482)0.99:0.001925)0.99:0.000693)0.99:0.000536)0.99:0.001029)0.99:0.000158)0.96:4.6e-05)0.99:0.000148,((XEBO:0.002393,((SYRO:0.000879,PSVA:0.001125)0.99:0.002602,(NEWE:0.001135,MEST:0.002975)0.99:0.000738)0.99:0.000222)0.99:0.000384,(((LOGI:0.000938,(HERO:0.002202,CATE:0.000573)0.99:0.00024)0.99:0.000104,(SCMA:0.004923,((IXSC:0.001834,(DRME:0.001991,DAPU:0.00143)0.99:0.000318)0.99:0.000214,(PRPA:0.00201,CAEL:0.000728)0.99:0.00385)0.99:0.000445)0.99:0.000152)0.99:0.000192,(((((XETR:0.000453,(HOSA:0.000101,GAGA:0.000392)0.99:7.9e-05)0.99:0.000105,DARE:0.000264)0.99:0.00079,CIIN:0.002243)0.99:0.000176,BRFL:0.000885)0.99:0.000138,((SAKO:0.000414,PTFL:0.000859)0.99:0.000414,((STPU:0.000806,(OPFA:0.000949,AUMO:0.002553)0.99:0.000557)0.99:6.6e-05,"ACPL:0.000578)0.99:0.000231)0.99:0.00017)0.99:0.000124)0.99:0.000139)0.99:0.000202)0.99:0.000232)0.99:0.000413);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,41,1.00E-09,1.5,24996,cluster.41_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta.nexus,41,,,cluster.41_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0526368,0.000533721,987,987,0.0136782,1999,0.033025,1958,0.0330304,2160,0.032958,2364,0.0327271,2168,0.0329624,80001,0,1129,0.00896109,1129,0.0089609,80001,0,,,,,"""(ACDI:0.000691",NEVE:0.000765,(HYMA:0.002429,(((TRAD:0.000767,HOHO:0.000308)0.99:0.00231,((PLBA:0.002889,MNLE:0.000704)0.99:0.004397,(((SYCI:0.001814,OSCA:0.004021)0.99:0.000119,(TEWI:0.001434,AMQU:0.001022)0.99:0.001132)0.99:0.000184,((SARO:0.001656,MOBR:0.002862)0.99:0.002348,(CAOW:0.003702,(SPAR:0.005423,(SPPU:0.001946,((((SCPO:0.004528,SACE:0.00581)0.99:0.001053,MAOR:0.002295)0.99:0.000497,CRNE:0.003955)0.99:0.001901,ALMA:0.004589)0.99:0.00064)0.99:0.002448)0.99:0.000808)0.99:0.000681)0.99:0.001121)0.99:0.00017)0.98:5.2e-05)0.99:0.000157,(XEBO:0.003058,(((SCMA:0.005814,(LOGI:0.001056,(HERO:0.002444,CATE:0.00067)0.99:0.00028)0.98:5.5e-05)0.95:7.5e-05,((IXSC:0.002082,(DRME:0.002318,DAPU:0.001699)0.99:0.000411)0.99:0.000299,(PRPA:0.002253,CAEL:0.000852)0.99:0.004502)0.99:0.000592)0.99:0.000196,(((((XETR:0.000542,(HOSA:0.000115,GAGA:0.000461)0.99:9.4e-05)0.99:0.000114,DARE:0.000315)0.99:0.00089,CIIN:0.00248)0.99:0.000184,BRFL:0.000956)0.99:0.00012,((SAKO:0.000442,PTFL:0.000926)0.99:0.00041,(STPU:0.000866,"ACPL:0.000587)0.99:0.00027)0.99:0.000204)0.99:0.000134)0.99:6.1e-05)0.99:0.000286)0.99:0.000239)0.99:0.000414);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,44,1.00E-09,1.5,28599,cluster.44_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta.nexus,44,1_2_3,,cluster.44_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,,0.0981488,0.000918888,968,968,0.00859772,1377,0.00763568,1362,0.00779218,1446,0.00617823,1530,0.00494963,1448,0.00617017,80001,0,1775,0.00493745,1775,0.00493541,80001,0,,,,,"""(ACDI:0.000744",NEVE:0.000805,(HYMA:0.002481,(((TRAD:0.00081,HOHO:0.000341)0.99:0.0024,((PLBA:0.002909,MNLE:0.000689)0.99:0.004534,(((SYCI:0.001885,OSCA:0.004093)0.99:0.000112,(TEWI:0.0015,AMQU:0.001088)0.99:0.001184)0.99:0.000187,((SARO:0.001715,MOBR:0.002923)0.99:0.002355,(CAOW:0.003773,(SPAR:0.005434,(SPPU:0.002028,((((SCPO:0.004509,SACE:0.00566)0.99:0.001019,MAOR:0.002325)0.99:0.000466,CRNE:0.003922)0.99:0.001853,ALMA:0.00454)0.99:0.000661)0.99:0.002392)0.99:0.000743)0.99:0.000656)0.99:0.001088)0.99:0.000181)0.79:4.5e-05)0.99:0.000142,(((SYRO:0.000992,PSVA:0.00108)0.99:0.00281,(NEWE:0.001138,MEST:0.002905)0.99:0.000784)0.99:0.000648,(((SCMA:0.005803,(LOGI:0.001108,(HERO:0.002507,CATE:0.000705)0.99:0.000283)0.99:7.8e-05)0.56:6.4e-05,((IXSC:0.002123,(DRME:0.002367,DAPU:0.00176)0.99:0.000384)0.99:0.000293,(PRPA:0.00239,CAEL:0.000931)0.99:0.004455)0.99:0.000576)0.99:0.000187,(((((XETR:0.000548,(HOSA:0.000124,GAGA:0.000477)0.99:9.2e-05)0.99:0.000113,DARE:0.000328)0.99:0.000895,CIIN:0.002531)0.99:0.000186,BRFL:0.000979)0.99:0.000128,((SAKO:0.000469,PTFL:0.000974)0.99:0.000413,(STPU:0.000883,"ACPL:0.000607)0.99:0.000271)0.99:0.000203)0.99:0.000185)0.99:0.000223)0.99:0.000157)0.99:0.000243)0.99:0.000473);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,47,1.00E-09,1.5,29656,cluster.47_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta.nexus,47,,,cluster.47_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-9.all_vs_all.txt.1.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0145248,0.000323044,994,994,0.00604891,1149,0.0200769,1135,0.0200621,1232,0.0198472,1338,0.0195844,1233,0.01986,80001,0,1318,0.0156902,1318,0.015694,80001,0,,,,,"""(ACDI:0.000801",NEVE:0.000872,(HYMA:0.002659,(((TRAD:0.000848,HOHO:0.000356)0.99:0.002554,((PLBA:0.003028,MNLE:0.000721)0.99:0.004716,(((SYCI:0.002011,OSCA:0.004284)0.93:0.000113,(TEWI:0.001569,AMQU:0.001137)0.99:0.001239)0.99:0.000187,((SARO:0.001703,MOBR:0.002993)0.99:0.00238,(CAOW:0.003749,(SPAR:0.005364,(SPPU:0.001902,((((SCPO:0.004334,SACE:0.005432)0.99:0.000972,MAOR:0.002177)0.99:0.000474,CRNE:0.003841)0.99:0.001789,ALMA:0.004365)0.99:0.000648)0.99:0.002349)0.99:0.000784)0.99:0.00068)0.99:0.001174)0.99:0.00019)0.95:5.4e-05)0.99:0.000159,((XEBO:0.00289,((SYRO:0.001039,PSVA:0.001222)0.99:0.002907,(NEWE:0.001235,MEST:0.003093)0.99:0.000838)0.99:0.00029)0.99:0.00044,(((LOGI:0.001209,(HERO:0.002669,CATE:0.00076)0.99:0.000311)0.99:0.000117,(SCMA:0.005967,((IXSC:0.002183,(DRME:0.002426,DAPU:0.001801)0.99:0.000404)0.99:0.000281,(PRPA:0.002334,CAEL:0.000911)0.99:0.004628)0.99:0.000579)0.95:0.000164)0.99:0.000251,(((((XETR:0.000592,(HOSA:0.000138,GAGA:0.000515)0.99:9.7e-05)0.99:0.00013,DARE:0.00034)0.99:0.000969,CIIN:0.002716)0.99:0.000234,BRFL:0.001117)0.99:0.000188,((SAKO:0.000567,PTFL:0.001069)0.99:0.000507,((OPFA:0.000951,AUMO:0.002725)0.99:0.000596,(STPU:0.001035,"ACPL:0.000766)0.99:0.000106)0.99:0.000267)0.99:0.000208)0.99:0.000147)0.99:0.000168)0.99:0.00023)0.99:0.000267)0.99:0.000496);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,41,1.00E-05,1.5,25934,cluster.41_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta.nexus,41,,,cluster.41_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.41_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0325746,0.000478783,785,785,0.0122764,1916,0.00956825,1886,0.0094193,2015,0.0123805,2149,0.014264,2020,0.0123729,80001,0,1359,0.00723813,1359,0.00723688,80001,0,,,,,"""(ACDI:0.001067",NEVE:0.001129,(HYMA:0.003307,(((TRAD:0.001162,HOHO:0.000454)0.99:0.00323,((PLBA:0.003806,MNLE:0.000994)0.99:0.005702,((OSCA:0.005413,(SYCI:0.002564,(TEWI:0.002003,AMQU:0.001397)0.99:0.001462)0.9:0.000148)0.99:0.00024,((SARO:0.002195,MOBR:0.004003)0.99:0.003028,(CAOW:0.005186,(SPAR:0.006775,(SPPU:0.002952,((((SCPO:0.006496,SACE:0.007889)0.99:0.001463,MAOR:0.00325)0.99:0.000757,CRNE:0.005579)0.99:0.002421,ALMA:0.006458)0.97:0.000769)0.99:0.003097)0.99:0.001078)0.99:0.000874)0.99:0.001392)0.99:0.000193)0.96:6.4e-05)0.99:0.000195,(XEBO:0.004122,(((LOGI:0.001587,(HERO:0.003374,CATE:0.001036)0.99:0.00038)0.99:0.000146,(SCMA:0.007359,((IXSC:0.002774,(DRME:0.003184,DAPU:0.002344)0.99:0.000535)0.99:0.000444,(PRPA:0.002867,CAEL:0.001219)0.99:0.00579)0.99:0.000669)0.99:0.00019)0.99:0.000269,(((((XETR:0.000826,(HOSA:0.000211,GAGA:0.000718)0.99:0.000107)0.99:0.00017,DARE:0.000502)0.99:0.001261,CIIN:0.003306)0.99:0.000294,BRFL:0.001411)0.99:0.000173,((SAKO:0.000715,PTFL:0.001341)0.99:0.000587,(STPU:0.001217,"ACPL:0.00094)0.99:0.000366)0.99:0.000273)0.99:0.000192)0.99:9.7e-05)0.99:0.000355)0.99:0.000352)0.99:0.000563);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,44,1.00E-05,1.5,30267,cluster.44_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta.nexus,44,,,cluster.44_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.44_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0243622,0.000333823,902,902,0.00710413,937,0.0111702,928,0.0111276,975,0.01165,1035,0.0119927,976,0.0116455,80001,0,2052,0.00876913,2052,0.00876848,80001,0,,,,,"""(ACDI:0.001194",NEVE:0.001233,(HYMA:0.003429,(((PLBA:0.004014,MNLE:0.001009)0.99:0.005931,((TRAD:0.00123,HOHO:0.000484)0.99:0.003425,((OSCA:0.005648,(SYCI:0.002704,(TEWI:0.002162,AMQU:0.00154)0.99:0.001575)0.65:0.000127)0.99:0.000265,((SARO:0.00229,MOBR:0.004175)0.99:0.003073,(CAOW:0.005359,(SPAR:0.006928,(SPPU:0.002952,((((SCPO:0.006408,SACE:0.007859)0.99:0.001401,MAOR:0.003271)0.99:0.000708,CRNE:0.005493)0.99:0.002401,ALMA:0.006479)0.99:0.00077)0.99:0.003091)0.99:0.001044)0.99:0.000898)0.99:0.001369)0.99:0.000207)0.6:6.5e-05)0.99:0.000157,(((SYRO:0.001266,PSVA:0.001294)0.99:0.003596,(NEWE:0.001556,MEST:0.003308)0.99:0.000954)0.99:0.000887,(((LOGI:0.001709,(HERO:0.003538,CATE:0.001116)0.99:0.00039)0.99:0.000138,(SCMA:0.007571,((IXSC:0.002927,(DRME:0.003337,DAPU:0.002436)0.99:0.000532)0.99:0.000454,(PRPA:0.003016,CAEL:0.001261)0.99:0.005826)0.99:0.000666)0.99:0.000226)0.99:0.000255,(((((XETR:0.000863,(HOSA:0.000197,GAGA:0.000738)0.99:0.000115)0.99:0.000179,DARE:0.000503)0.99:0.001283,CIIN:0.00344)0.99:0.000295,BRFL:0.00148)0.99:0.00018,((SAKO:0.000744,PTFL:0.001432)0.99:0.000599,(STPU:0.001293,"ACPL:0.000989)0.99:0.000388)0.99:0.000291)0.99:0.000276)0.99:0.000294)0.99:0.000217)0.99:0.000365)0.99:0.000671);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homogroups,47,1.00E-05,1.5,31634,cluster.47_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta.nexus,47,,,cluster.47_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_1.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_2.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_3.trees.tree,:,80001,trees,cluster.47_Species_homogroups_Diamond.1e-5.all_vs_all.txt.1.5.mcl.table.fasta_run_4.trees.tree,:,80001,trees,0.0143873,0.000251331,689,778,0.011015,698,0.0225802,689,0.0222355,703,0.0203464,732,0.0197871,704,0.0204152,80001,0,2158,0.0111951,2158,0.0111946,80001,0,,,,,"""(ACDI:0.001257",NEVE:0.001296,(HYMA:0.003635,(((PLBA:0.004137,MNLE:0.001018)0.99:0.006156,((TRAD:0.00126,HOHO:0.0005)0.99:0.003527,((OSCA:0.005846,(SYCI:0.002847,(TEWI:0.002226,AMQU:0.001584)0.99:0.001618)0.91:0.000139)0.99:0.000257,((SARO:0.002297,MOBR:0.004186)0.99:0.003104,(CAOW:0.005325,(SPAR:0.00678,(SPPU:0.002877,((((SCPO:0.006081,SACE:0.007475)0.99:0.00138,MAOR:0.003108)0.99:0.000674,CRNE:0.005254)0.99:0.002278,ALMA:0.00628)0.99:0.000809)0.99:0.003005)0.99:0.001065)0.99:0.000906)0.99:0.001481)0.99:0.000229)0.59:6e-05)0.99:0.00018,((XEBO:0.004002,((SYRO:0.00131,PSVA:0.001416)0.99:0.003652,(NEWE:0.001651,MEST:0.003491)0.99:0.000997)0.99:0.000391)0.99:0.000567,(((LOGI:0.001857,(HERO:0.003681,CATE:0.001215)0.99:0.000415)0.99:0.000167,(SCMA:0.007777,((IXSC:0.003019,(DRME:0.003451,DAPU:0.002518)0.99:0.000547)0.99:0.000425,(PRPA:0.003112,CAEL:0.001267)0.99:0.006005)0.99:0.000734)0.99:0.000282)0.99:0.00033,(((((XETR:0.000869,(HOSA:0.000193,GAGA:0.00075)0.99:0.000119)0.99:0.000186,DARE:0.000543)0.99:0.001387,CIIN:0.003619)0.99:0.000366,BRFL:0.001665)0.99:0.000269,((SAKO:0.000921,PTFL:0.001553)0.99:0.000761,((OPFA:0.001015,AUMO:0.003275)0.99:0.000663,(STPU:0.001533,"ACPL:0.001235)0.99:0.00021)0.99:0.000332)0.99:0.00027)0.99:0.000205)0.99:0.000216)0.99:0.000295)0.99:0.000408)0.99:0.000701);""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
