,Table S1| Information about all the data of species used in this research. In bold core species in this research.,,,,,,,,,,BUSCO eukaryota (255 proteins),,,,,,,BUSCO metazoa (954 proteins),,,,,,
Running number (for internal use only),Species name,Four letters representation,Phylum,# Phyla,Class,Proteome source,Size (M),Number of predicet poteins,Included in ntax44,Included in ntax41,C% *min value gray,%,Complete (C),Complete and single-copy (S),Complete and duplicated (D),Fragmented (F),Missing (M),C% *min value gray,%,Complete (C),Complete and single-copy (S),Complete and duplicated (D),Fragmented (F),Missing (M)
1,Helobdella robusta,HERO,Annelida,1,Clitellata,Ensembl,13,22812,Y,Y,97.3,"S:96.5%,D:0.8%,F:1.6%,M:1.1%",248,246,2,4,3,90.1,"S:89.3%,D:0.8%,F:4.7%,M:5.2%",860,852,8,45,49
2,Capitella teleta,CATE,Annelida,1,Polychaeta,Ensembl,17,29584,Y,Y,94.1,"S:93.7%,D:0.4%,F:4.3%,M:1.6%",240,239,1,11,4,95,"S:93.8%,D:1.2%,F:2.8%,M:2.2%",906,895,11,27,21
3,Ixodes scapularis,IXSC,Arthropoda,2,Arachnida,Ensembl,11,20361,Y,Y,72.6,"S:71.4%,D:1.2%,F:16.9%,M:10.5%",185,182,3,43,27,78.3,"S:77.9%,D:0.4%,F:12.7%,M:9.0%",747,743,4,121,86
4,Daphnia pulex,DAPU,Arthropoda,2,Branchiopoda,Ensembl,15,28309,Y,Y,97.7,"S:96.5%,D:1.2%,F:0.4%,M:1.9%",249,246,3,1,5,94.9,"S:93.5%,D:1.4%,F:1.5%,M:3.6%",905,892,13,14,35
5,Drosophila melanogaster,DRME,Arthropoda,2,Insecta,Ensembl,13,15929,Y,Y,100,"S:97.6%,D:2.4%,F:0.0%,M:0.0%",255,249,6,0,0,99.3,"S:95.7%,D:3.6%,F:0.2%,M:0.5%",947,913,34,2,5
6,Saccharomyces cerevisiae,SACE,Ascomycota,3,Saccharomycetes,Ensembl,3.9,6600,Y,Y,93.3,"S:92.5%,D:0.8%,F:1.2%,M:5.5%",238,236,2,3,14,39.9,"S:35.5%,D:4.4%,F:4.1%,M:56.0%",381,339,42,39,534
7,Schizosaccharomyces pombe,SCPO,Ascomycota,3,Schizosaccharomycetes,Ensembl,3.7,5146,Y,Y,96.9,"S:95.3%,D:1.6%,F:0.4%,M:2.7%",247,243,4,1,7,49.8,"S:46.1%,D:3.7%,F:2.8%,M:47.4%",475,440,35,27,452
8,Magnaporthe oryzae,MAOR,Ascomycota,3,Sordariomycetes,Ensembl,8.4,12755,Y,Y,98.5,"S:97.3%,D:1.2%,F:0.8%,M:0.7%",251,248,3,2,2,48.9,"S:47.5%,D:1.4%,F:4.7%,M:46.4%",466,453,13,45,443
9,Cryptococcus neoformans var. neoformans JEC21,CRNE,Basidiomycota,4,Tremellomycetes,Ensembl,4.9,19447,Y,Y,96.9,"S:95.7%,D:1.2%,F:2.4%,M:0.7%",247,244,3,6,2,51.1,"S:49.8%,D:1.3%,F:4.9%,M:44.0%",487,475,12,47,420
